classification,typeGroup,subType,name,selectionLabel,sourceRow,type,workType,contractId,accessLevel,category,department,vendor,group,fixedSla,slaVersion,remark,active
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-FSQ — SLA 22,41,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-FSQ,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (2/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-W-BKK — SLA 22,42,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-W-BKK,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (3/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-MMPZ — SLA 22,43,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-MMPZ,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (4/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-RCS — SLA 22,44,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-RCS,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (5/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-ALPEA — SLA 22,45,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-ALPEA,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (6/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-TTH — SLA 22,46,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-TTH,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (7/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร,Management Fee Agreement | สัญญาค่าธรรมเนียมการบริหาร — T23-T5 — SLA 22,47,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Finance,T23-T5,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (8/8),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง,,Wongnai–LINE MAN GP Model Participation Agreement | สัญญาเข้าร่วมโครงการ Wongnai–LINE MAN GP Model,Wongnai–LINE MAN GP Model Participation Agreement | สัญญาเข้าร่วมโครงการ Wongnai–LINE MAN GP Model,48,Outsourcing Agreement / สัญญาจ้าง,Outsourcing Agreement / สัญญาจ้าง,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Marketing,"T23-Grab, T23-LINE MAN",Outsourcing Agreement / สัญญาจ้าง,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ,,Credit Card Promotion Agreement with Bank | สัญญาร่วมรายการส่งเสริมการขายบัตรเครดิตกับธนาคาร,Credit Card Promotion Agreement with Bank | สัญญาร่วมรายการส่งเสริมการขายบัตรเครดิตกับธนาคาร,49,Others / อื่น ๆ,Others / อื่น ๆ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Marketing,ยังไม่ระบุ,Others / อื่น ๆ,20,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement – Bluekoff | สัญญาให้คำปรึกษา – Bluekoff,Consultancy Agreement – Bluekoff | สัญญาให้คำปรึกษา – Bluekoff,50,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,Bluekoff (K’ Jame),Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,General Legal Services Agreement | สัญญาให้บริการด้านกฎหมายทั่วไป,General Legal Services Agreement | สัญญาให้บริการด้านกฎหมายทั่วไป,51,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Confidentiality Agreement / สัญญารักษาความลับ,Non-Disclosure Agreement – Devanom | สัญญาไม่เปิดเผยข้อมูล – Devanom,Non-Disclosure Agreement – Devanom | สัญญาไม่เปิดเผยข้อมูล – Devanom,52,Confidentiality Agreement / สัญญารักษาความลับ,Confidentiality Agreement / สัญญารักษาความลับ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,"Mr. Nattachai (CEO, Devanom)",Commercial Agreement / สัญญาทางธุรกิจ,20,2026-08-05-sla-config-updated1-v1,—,Yes
Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น,Memorandum of Understanding / บันทึกความเข้าใจ,Memorandum of Understanding (MOU) | บันทึกความเข้าใจ,Memorandum of Understanding (MOU) | บันทึกความเข้าใจ,53,Memorandum of Understanding / บันทึกความเข้าใจ,Memorandum of Understanding / บันทึกความเข้าใจ,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Preliminary Agreement / ข้อตกลงเบื้องต้น,24,2026-08-05-sla-config-updated1-v1,เดิม: Confident-001,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement | สัญญาให้คำปรึกษา,Consultancy Agreement | สัญญาให้คำปรึกษา,54,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,เดิม: Confident-002,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Confidentiality Agreement / สัญญารักษาความลับ,Confidentiality Agreement | สัญญารักษาความลับ,Confidentiality Agreement | สัญญารักษาความลับ,55,Confidentiality Agreement / สัญญารักษาความลับ,Confidentiality Agreement / สัญญารักษาความลับ,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,20,2026-08-05-sla-config-updated1-v1,เดิม: Confident-003,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Management Agreement / สัญญาบริหารจัดการ,Management Agreement | สัญญาบริหารจัดการ,Management Agreement | สัญญาบริหารจัดการ,56,Management Agreement / สัญญาบริหารจัดการ,Management Agreement / สัญญาบริหารจัดการ,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,เดิม: Confident-004,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Loan Agreement / สัญญาเงินกู้,Loan Agreement | สัญญาเงินกู้,Loan Agreement | สัญญาเงินกู้,57,Loan Agreement / สัญญาเงินกู้,Loan Agreement / สัญญาเงินกู้,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,28,2026-08-05-sla-config-updated1-v1,เดิม: Confident-005,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Mergers and Acquisitions Agreement / สัญญาการควบรวมและซื้อกิจการ,Merger and Acquisition Agreement (M&A Agreement) | สัญญาการควบรวมและซื้อกิจการ,Merger and Acquisition Agreement (M&A Agreement) | สัญญาการควบรวมและซื้อกิจการ,58,Mergers and Acquisitions Agreement / สัญญาการควบรวมและซื้อกิจการ,Mergers and Acquisitions Agreement / สัญญาการควบรวมและซื้อกิจการ,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,28,2026-08-05-sla-config-updated1-v1,เดิม: Confident-006,Yes
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Shareholders’ Agreement / สัญญาระหว่างผู้ถือหุ้น,Shareholders’ Agreement | สัญญาระหว่างผู้ถือหุ้น,Shareholders’ Agreement | สัญญาระหว่างผู้ถือหุ้น,59,Shareholders’ Agreement / สัญญาระหว่างผู้ถือหุ้น,Shareholders’ Agreement / สัญญาระหว่างผู้ถือหุ้น,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Commercial Agreement / สัญญาทางธุรกิจ,28,2026-08-05-sla-config-updated1-v1,เดิม: Confident-007,Yes
Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น,Term Sheet / เอกสารสรุปเงื่อนไขเบื้องต้น,Term Sheet | เอกสารสรุปเงื่อนไขเบื้องต้น,Term Sheet | เอกสารสรุปเงื่อนไขเบื้องต้น,60,Term Sheet / เอกสารสรุปเงื่อนไขเบื้องต้น,Term Sheet / เอกสารสรุปเงื่อนไขเบื้องต้น,,Confidential,Confidential / สัญญาลับ,Legal,ยังไม่ระบุ,Preliminary Agreement / ข้อตกลงเบื้องต้น,24,2026-08-05-sla-config-updated1-v1,เดิม: Confident-008,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม,,Amendment to Existing Agreement | สัญญาแก้ไขเพิ่มเติมสัญญาเดิม,Amendment to Existing Agreement | สัญญาแก้ไขเพิ่มเติมสัญญาเดิม,61,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม,20,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Sale and Purchase Agreement / สัญญาซื้อขาย,,Equipment Sale and Purchase Agreement | สัญญาซื้อขายอุปกรณ์,Equipment Sale and Purchase Agreement | สัญญาซื้อขายอุปกรณ์,62,Sale and Purchase Agreement / สัญญาซื้อขาย,Sale and Purchase Agreement / สัญญาซื้อขาย,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Sale and Purchase Agreement / สัญญาซื้อขาย,24,2026-08-05-sla-config-updated1-v1,—,Yes
