classification,typeGroup,subType,name,selectionLabel,sourceRow,type,workType,contractId,accessLevel,category,department,vendor,group,fixedSla,slaVersion,remark,active
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – LahnYai NUSARA (Baan Turtle) | สัญญาเช่าและบริการ – LahnYai NUSARA (Baan Turtle),Lease and Service Agreement – LahnYai NUSARA (Baan Turtle) | สัญญาเช่าและบริการ – LahnYai NUSARA (Baan Turtle),11,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,BLY and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – Man Tables (Baan Turtle) | สัญญาเช่าและบริการ – Man Tables (Baan Turtle),Lease and Service Agreement – Man Tables (Baan Turtle) | สัญญาเช่าและบริการ – Man Tables (Baan Turtle),12,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Win Win Kitchen and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – BK Salon | สัญญาเช่าและบริการ – BK Salon,Lease and Service Agreement – BK Salon | สัญญาเช่าและบริการ – BK Salon,13,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,BLY and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – Gowin | สัญญาเช่าและบริการ – Gowin,Lease and Service Agreement – Gowin | สัญญาเช่าและบริการ – Gowin — BLY and FSQ — SLA 22,14,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,BLY and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (1/2),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – Gowin | สัญญาเช่าและบริการ – Gowin,Lease and Service Agreement – Gowin | สัญญาเช่าและบริการ – Gowin — CM Gold and FSQ — SLA 22,15,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,CM Gold and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,แยกจากรายการชื่อเดียวกัน (2/2),Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Booth Rental and Service Agreement | สัญญาเช่าพื้นที่บูธและบริการ,Booth Rental and Service Agreement | สัญญาเช่าพื้นที่บูธและบริการ,16,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Taste Hunters and MMP,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Area Rental Agreement – Coffee Truck 1 | สัญญาเช่าพื้นที่ – Coffee Truck 1,Area Rental Agreement – Coffee Truck 1 | สัญญาเช่าพื้นที่ – Coffee Truck 1,17,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,UTAV,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Area Rental Agreement – Coffee Truck 2 | สัญญาเช่าพื้นที่ – Coffee Truck 2,Area Rental Agreement – Coffee Truck 2 | สัญญาเช่าพื้นที่ – Coffee Truck 2,18,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,UTAV,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Lease Agreement / สัญญาเช่า,Head Office Lease Agreement | สัญญาเช่าสำนักงานใหญ่,Head Office Lease Agreement | สัญญาเช่าสำนักงานใหญ่,19,Lease Agreement / สัญญาเช่า,Lease Agreement / สัญญาเช่า,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,20,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Sub Lease Agreement / สัญญาเช่าช่วง,Retail Space Sublease Agreement | สัญญาเช่าช่วงพื้นที่ค้าปลีก,Retail Space Sublease Agreement | สัญญาเช่าช่วงพื้นที่ค้าปลีก,20,Sub Lease Agreement / สัญญาเช่าช่วง,Sub Lease Agreement / สัญญาเช่าช่วง,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,20,2026-08-05-sla-config-updated1-v1,—,Yes
